dec,ra,hSyntMag
-5.19883571303253,34.4067486066157,19.51100089
-5.19554255475538,34.4102924263056,15.173901699999998
-5.19631688363155,34.4130643362673,21.926833190000004
-5.19927399206593,34.4204776013177,19.125415399999998
-5.18713243970846,34.4052847507229,21.347367350000003
-5.20907338165031,34.4181385649169,16.35221894
-5.21526166559945,34.4020581335303,24.783091460000005
-5.21465404501856,34.4184050352415,20.83119035
-5.21225172676738,34.3930690548981,
-5.21028531220633,34.4232151368373,20.20870506
-5.206621,34.425084,
-5.22235235835607,34.4104187003783,19.81665822
-5.22050343148352,34.4172398623374,21.59627641
-5.222923,34.408668,
-5.22037827392805,34.4186186535088,19.485976109999996
-5.18084656465688,34.395542989001,19.1239701
-5.178479,34.416059,
-5.22410746045599,34.4030269530481,20.57527842
-5.22030283958281,34.3936049971927,19.06464754
-5.21411886362844,34.3850180495217,19.840575599999998
-5.224637991658,34.3956175630803,19.53174
-5.20089257504498,34.4348048208829,16.4234072
-5.21790268292931,34.3856104985,19.0015945
-5.20252385793178,34.435177866222,19.3108844
-5.21068266621647,34.381235521521,19.501423340000002
-5.19397092444743,34.4352221208671,21.98929228
-5.18010317680369,34.3869070101809,20.241521810000002
-5.2285892120036,34.4003662105522,19.3190673
-5.171532,34.405042,
-5.17893021229298,34.3869205368122,17.1377473
-5.22288379012146,34.3872624867822,22.462772440000002
-5.225264,34.425535,
-5.1801586396616,34.4323153650261,19.659160399999998
-5.16829217978728,34.4101211560691,18.207834199999997
-5.23070264649088,34.421744468743,20.790093190000004
-5.18613689123706,34.3769546057134,21.78778784
-5.17935747957252,34.3811808849164,22.575032899999997
-5.16749433480604,34.4012938941132,16.068487599999997
-5.22620139217435,34.3854898107902,17.7468518
-5.16962706104142,34.3932964056207,20.0447751
-5.21246973427233,34.4403528300971,25.322800159999996
-5.16850828205779,34.421597666777,17.34421571
-5.20706463122418,34.3725852123,18.49845432
-5.22758866507531,34.3837795449443,20.91136343
-5.18853348120796,34.3728275143977,19.469708009999998
-5.23411374050615,34.3932059902249,16.3860288
-5.21770071308193,34.3746137948102,23.552320830000003
-5.20079098237922,34.3703382306236,24.426581279999997
-5.16602575822514,34.4205455582681,24.48479076
-5.20269718670401,34.3697928242436,22.74392354
-5.23542935096127,34.4213414448251,18.918419099999998
-5.22579847479533,34.4355952764888,14.419828300000002
-5.16648657873429,34.4248426778196,15.106557000000002
-5.22308653930789,34.4387602607246,23.81909857
-5.1631463043087,34.3969305392217,20.883754350000004
-5.18551386627322,34.4437165028455,20.088631529999997
-5.22024102930631,34.3733069285863,22.09594139
-5.16851213146142,34.3836656773651,14.860117800000001
-5.16040670577774,34.41011131616,20.682971659999996
-5.16166292853563,34.4185815575422,15.793895299999999
-5.17671928697599,34.3738751196313,14.750714599999998
-5.22304564033781,34.4422501011631,20.588098690000002
-5.22178600628548,34.4430826492451,14.995750399999999
-5.158644,34.406963,
-5.15907301779962,34.4001522397364,
-5.22564926814869,34.4416359070059,20.75048816
-5.24004757232855,34.4242397488086,20.601186100000003
-5.24568003765633,34.4111466607936,19.51628222
-5.15994512176006,34.3869977811924,17.0718995
-5.15595693847782,34.4168911629453,21.03301296
-5.21867165044588,34.3653722033423,23.78345891
-5.24436553418195,34.4230315296603,18.630142300000003
-5.1945617212556,34.4538762812694,22.302983180000002
-5.15405482918552,34.4130899304581,23.19715126
-5.22499574561482,34.4475597844421,22.98616919
-5.24567710269421,34.4205264222282,20.557554529999997
-5.17246382914998,34.3691884917055,20.32238102
-5.15443109272869,34.3966780475402,21.12552352
-5.22088013154796,34.4512542341805,15.1931907
-5.21466977863723,34.3608048309758,22.824275819999997
-5.22846574779464,34.3673694467871,
-5.24060891563484,34.3793347696237,19.87052959
-5.23698443564655,34.3745491090725,23.88052921
